Date,high,low,open,close,kdjk,kdjd,rsi_6,rsi_12,macd,cci,wr_10,wma10,Point
2004/12/3,0.862559974,0.850703001,0.852185011,0.853667021,10.5331044,16.39149096,22.2126609,34.52630092,-0.011212766,-134.3530891,92.30804133,0.866224511,0
2004/12/6,0.859596014,0.844775021,0.853667021,0.855148971,13.68845283,15.49047825,25.95999773,35.66618697,-0.011636702,-119.2164695,81.08185371,0.862883034,0
2004/12/7,0.867006004,0.853667021,0.856631994,0.858114004,18.80335171,16.5947694,33.63581666,38.02135086,-0.011599707,-74.48966227,74.28478846,0.860889053,0
2004/12/8,0.871451974,0.855148971,0.864041984,0.856631994,21.42479333,18.20477738,31.66673216,37.27724324,-0.011556755,-58.92113723,74.19253982,0.859164544,0
2004/12/9,0.893683016,0.850703001,0.859596014,0.865523994,28.42469586,21.61141687,51.92857557,44.39958986,-0.010682069,-8.471230944,57.57549906,0.859487906,1
2004/12/10,0.875898004,0.855148971,0.862559974,0.858114004,28.04100547,23.75461307,40.0524397,40.24509993,-0.010466151,-38.03911537,72.72637531,0.858760417,0
2004/12/13,0.861078024,0.843293011,0.853667021,0.849220991,22.61540296,23.37487637,30.12893483,35.85289265,-0.010887126,-106.6586893,88.23580205,0.856820215,0
2004/12/14,0.856631994,0.841811001,0.852185011,0.844775021,16.98163593,21.24379622,26.23009943,33.83874968,-0.011447544,-120.6033623,94.28589814,0.854421965,0
2004/12/15,0.865523994,0.837364972,0.844775021,0.852185011,20.09272522,20.86010589,41.39717913,39.9703206,-0.011165052,-81.8496485,73.6850962,0.85380213,0
2004/12/16,0.889236987,0.844775021,0.856631994,0.864041984,29.18464982,23.63495387,57.9843229,48.32936508,-0.009870633,62.31949756,52.63150096,0.855526745,0
2004/12/17,0.872933984,0.849220991,0.859596014,0.855148971,29.98236651,25.75075808,46.21195631,43.38619221,-0.009453416,1.678294946,68.42220011,0.855418867,0
2004/12/20,0.862559974,0.840328991,0.852185011,0.844775021,24.37407928,25.29186515,35.98491265,38.38941498,-0.009846357,-98.96364441,86.84249518,0.853397872,0
2004/12/21,0.853667021,0.840328991,0.844775021,0.847738981,22.38951982,24.32441671,40.49957507,40.52439632,-0.009805566,-106.2480148,81.57959909,0.852104396,0
2004/12/22,0.864041984,0.843293011,0.849220991,0.864041984,32.06918837,26.90600726,59.39922469,50.76248094,-0.008361338,6.586016367,52.63150096,0.853963739,0
2004/12/23,0.869970024,0.840328991,0.862559974,0.843293011,25.18886016,26.33362489,39.99640378,40.9705342,-0.008789724,-55.75026232,88.57179627,0.851915815,0
2004/12/24,0.843293011,0.843293011,0.843293011,0.843293011,20.60197468,24.42307482,39.99640378,40.9705342,-0.009025186,-121.1173127,88.57179627,0.85027209,0
2004/12/27,0.847738981,0.795867026,0.840328991,0.801795006,15.85095496,21.56570154,20.60866707,28.0787767,-0.012417195,-279.4194831,93.65108446,0.841352746,0
2004/12/28,0.807722986,0.791420996,0.800312996,0.801795006,14.10251589,19.07797299,20.60866707,28.0787767,-0.014933247,-257.7347727,89.39436225,0.833295692,0
2004/12/29,0.813651979,0.797348976,0.803277016,0.798830986,12.43186507,16.86260368,19.62998313,27.34732386,-0.016970778,-168.0113722,92.42456187,0.825481181,0
2004/12/30,0.809206009,0.791420996,0.798830986,0.807722986,15.20587796,16.31036178,31.36394013,33.05468364,-0.017664402,-125.6783532,80.00074585,0.82025347,0
